"RED_IZO";"IČO";"Zřizovatel";"Území";"Kraj";"Okres/Obvod";"Správní úřad";"ORP";"ORP Název";"Plný název";"Zkrácený název";"Ulice";"Č. p.";"Č. or.";"Část obce";"PSČ";"Místo";"Kód RÚIAN";"Telefon";"Fax";"Email 1";"Email 2";"WWW";"Ředitel";"IZO";"Druh/Typ";"Název";"Škola - Ulice";"Škola - Č. p.";"Škola - Č. or.";"Škola - Část obce";"Škola - PSČ";"Škola - Místo";"Škola - Kód RÚIAN";"Kapacita";"Datum zahájení činnosti"
"600001431";"70901619";"6";"CZ0426";"Ústecký kraj";"Teplice";"B42000";"4213";"Teplice";"Biskupské gymnázium, Základní škola a Mateřská škola Bohosudov";"Biskupské gymnázium, ZŠ a MŠ Bohosudov";"Koněvova";"100";;"Bohosudov";"41742";"Krupka";"26029901";"417 862 507";;"info@bgbzs.cz";;"http://www.bgbzs.cz";"Mgr. Jakub Wiedner";"181002434";"G22";"Školní klub";"Koněvova";"34";;"Bohosudov";"41742";"Krupka";"26029821";"270";"01.09.2008"
"600001431";"70901619";"6";"CZ0426";"Ústecký kraj";"Teplice";"B42000";"4213";"Teplice";"Biskupské gymnázium, Základní škola a Mateřská škola Bohosudov";"Biskupské gymnázium, ZŠ a MŠ Bohosudov";"Koněvova";"100";;"Bohosudov";"41742";"Krupka";"26029901";"417 862 507";;"info@bgbzs.cz";;"http://www.bgbzs.cz";"Mgr. Jakub Wiedner";"181006235";"G11";"Dům dětí a mládeže";"Koněvova";"100";;"Bohosudov";"41742";"Krupka";"26029901";"120";"01.01.2009"
"600001431";"70901619";"6";"CZ0426";"Ústecký kraj";"Teplice";"B42000";"4213";"Teplice";"Biskupské gymnázium, Základní škola a Mateřská škola Bohosudov";"Biskupské gymnázium, ZŠ a MŠ Bohosudov";"Koněvova";"100";;"Bohosudov";"41742";"Krupka";"26029901";"417 862 507";;"info@bgbzs.cz";;"http://www.bgbzs.cz";"Mgr. Jakub Wiedner";"181038811";"A00";"Mateřská škola";"Koněvova";"100";;"Bohosudov";"41742";"Krupka";"26029901";"24";"01.09.2012"
"600001661";"25349520";"5";"CZ0722";"Zlínský kraj";"Uherské Hradiště";"B72000";"7207";"Uherské Hradiště";"Academic School, Gymnázium, Střední odborná škola, Základní škola a Mateřská škola, s.r.o.";"Academic School, Gymnázium, SOŠ, ZŠ a MŠ, s.r.o.";"Studentské náměstí";"1531";;"Mařatice";"68601";"Uherské Hradiště";"27459390";"576 519 343";;"vera.olsakova@academicschool.cz";"academicschool@academicschool.cz";"http://academicschool.cz/";"PhDr. Věra Olšáková";"110009312";"B00";"Základní škola";"Studentské náměstí";"1531";;"Mařatice";"68601";"Uherské Hradiště";"27459390";"200";"30.05.1996"
"600001661";"25349520";"5";"CZ0722";"Zlínský kraj";"Uherské Hradiště";"B72000";"7207";"Uherské Hradiště";"Academic School, Gymnázium, Střední odborná škola, Základní škola a Mateřská škola, s.r.o.";"Academic School, Gymnázium, SOŠ, ZŠ a MŠ, s.r.o.";"Studentské náměstí";"1531";;"Mařatice";"68601";"Uherské Hradiště";"27459390";"576 519 343";;"vera.olsakova@academicschool.cz";"academicschool@academicschool.cz";"http://academicschool.cz/";"PhDr. Věra Olšáková";"110009321";"A00";"Mateřská škola";"Sadová";"1385";;"Mařatice";"68605";"Uherské Hradiště";"25401157";"100";"30.05.1996"
"600001661";"25349520";"5";"CZ0722";"Zlínský kraj";"Uherské Hradiště";"B72000";"7207";"Uherské Hradiště";"Academic School, Gymnázium, Střední odborná škola, Základní škola a Mateřská škola, s.r.o.";"Academic School, Gymnázium, SOŠ, ZŠ a MŠ, s.r.o.";"Studentské náměstí";"1531";;"Mařatice";"68601";"Uherské Hradiště";"27459390";"576 519 343";;"vera.olsakova@academicschool.cz";"academicschool@academicschool.cz";"http://academicschool.cz/";"PhDr. Věra Olšáková";"110009339";"G21";"Školní družina";"Studentské náměstí";"1531";;"Mařatice";"68601";"Uherské Hradiště";"27459390";"115";"30.05.1996"
"600001661";"25349520";"5";"CZ0722";"Zlínský kraj";"Uherské Hradiště";"B72000";"7207";"Uherské Hradiště";"Academic School, Gymnázium, Střední odborná škola, Základní škola a Mateřská škola, s.r.o.";"Academic School, Gymnázium, SOŠ, ZŠ a MŠ, s.r.o.";"Studentské náměstí";"1531";;"Mařatice";"68601";"Uherské Hradiště";"27459390";"576 519 343";;"vera.olsakova@academicschool.cz";"academicschool@academicschool.cz";"http://academicschool.cz/";"PhDr. Věra Olšáková";"110009347";"L13";"Školní jídelna - výdejna";"J. E. Purkyně";"365";;"Uherské Hradiště";"68606";"Uherské Hradiště";"79092322";"100";"30.05.1996"
"600001661";"25349520";"5";"CZ0722";"Zlínský kraj";"Uherské Hradiště";"B72000";"7207";"Uherské Hradiště";"Academic School, Gymnázium, Střední odborná škola, Základní škola a Mateřská škola, s.r.o.";"Academic School, Gymnázium, SOŠ, ZŠ a MŠ, s.r.o.";"Studentské náměstí";"1531";;"Mařatice";"68601";"Uherské Hradiště";"27459390";"576 519 343";;"vera.olsakova@academicschool.cz";"academicschool@academicschool.cz";"http://academicschool.cz/";"PhDr. Věra Olšáková";"150078412";"G22";"Školní klub";"Studentské náměstí";"1531";;"Mařatice";"68601";"Uherské Hradiště";"27459390";"85";"01.09.2005"
"600001661";"25349520";"5";"CZ0722";"Zlínský kraj";"Uherské Hradiště";"B72000";"7207";"Uherské Hradiště";"Academic School, Gymnázium, Střední odborná škola, Základní škola a Mateřská škola, s.r.o.";"Academic School, Gymnázium, SOŠ, ZŠ a MŠ, s.r.o.";"Studentské náměstí";"1531";;"Mařatice";"68601";"Uherské Hradiště";"27459390";"576 519 343";;"vera.olsakova@academicschool.cz";"academicschool@academicschool.cz";"http://academicschool.cz/";"PhDr. Věra Olšáková";"181134799";"C00";"Střední škola";"Města Mayen";"1536";;"Mařatice";"68601";"Uherské Hradiště";"40657281";"80";"01.09.2023"
"600001873";"70874204";"7";"CZ0103";"Hlavní město Praha";"Praha 3";"B11000";"1100";"Hlavní město Praha";"Gymnázium a Hudební škola hlavního města Prahy, základní umělecká škola";"Gymnázium a Hudební škola hl.m.Prahy,ZUŠ";"Komenského náměstí";"400";"9";"Žižkov";"13000";"Praha";"21770751";"221 434 711";;"filip.magram@gmhs.cz";"petr.maslan@gmhs.cz";"www.gmhs.cz";"MgA. Filip Magram";"110001613";"F10";"Základní umělecká škola";"Komenského náměstí";"400";"9";"Žižkov";"13000";"Praha";"21770751";"740";"12.11.1996"
"600001873";"70874204";"7";"CZ0103";"Hlavní město Praha";"Praha 3";"B11000";"1100";"Hlavní město Praha";"Gymnázium a Hudební škola hlavního města Prahy, základní umělecká škola";"Gymnázium a Hudební škola hl.m.Prahy,ZUŠ";"Komenského náměstí";"400";"9";"Žižkov";"13000";"Praha";"21770751";"221 434 711";;"filip.magram@gmhs.cz";"petr.maslan@gmhs.cz";"www.gmhs.cz";"MgA. Filip Magram";"181033666";"C00";"Střední škola";"Komenského náměstí";"400";"9";"Žižkov";"13000";"Praha";"21770751";"310";"01.01.2012"
"600004520";"70837872";"7";"CZ0101";"Hlavní město Praha";"Praha 1";"B11000";"1100";"Hlavní město Praha";"Obchodní akademie Dušní";"Obchodní akademie Dušní";"Dušní";"1083";"7";"Staré Město";"11000";"Praha";"21727392";"222 317 983";;"oadusni@oadusni.cz";"zajicova@oadusni.cz";"www.oadusni.cz";"Ing. Alena Kocourková";"000638447";"C00";"Střední škola";"Dušní";"1083";"7";"Staré Město";"11000";"Praha";"21727392";"600";"16.05.1996"
"600004546";"60446218";"7";"CZ0101";"Hlavní město Praha";"Praha 1";"B11000";"1100";"Hlavní město Praha";"Gymnázium Jiřího Gutha-Jarkovského, Praha 1, Truhlářská 22";"Gymnázium J.G.Jarkovského";"Truhlářská";"1120";"22";"Nové Město";"11000";"Praha";"21709548";"224 816 816";"224 816 816";"info@truhla.cz";;"www.truhla.cz";"PhDr. Jitka Kendíková";"060446218";"C00";"Střední škola";"Truhlářská";"1120";"22";"Nové Město";"11000";"Praha";"21709548";"480";"16.05.1996"
"600004554";"61388866";"7";"CZ0101";"Hlavní město Praha";"Praha 1";"B11000";"1100";"Hlavní město Praha";"Střední průmyslová škola sdělovací techniky, Praha 1, Panská 3";"SPŠ sdělovací techniky";"Panská";"856";"3";"Nové Město";"11000";"Praha";"21706581";"221 002 111";"221 002 666";"snajdar@panska.cz";"ruml@panska.cz";"www.panska.cz";"Ing. Luděk Šnajdar";"061388866";"C00";"Střední škola";"Panská";"856";"3";"Nové Město";"11000";"Praha";"21706581";"720";"13.06.1996"
"600004562";"70837783";"7";"CZ0101";"Hlavní město Praha";"Praha 1";"B11000";"1100";"Hlavní město Praha";"Vyšší odborná škola grafická a Střední průmyslová škola grafická, Praha 1, Hellichova 22";"VOŠ grafická a SPŠ grafická";"Hellichova";"535";"22";"Malá Strana";"11800";"Praha";"21700281";"257 312 390";"257 312 390";"info@hellichovka.cz";"vykydalova@hellichovka.cz";"http://www.hellichovka.cz/";"Ing. Radek Blahák";"000638595";"C00";"Střední škola";"Hellichova";"535";"22";"Malá Strana";"11800";"Praha";"21700281";"330";"12.11.1996"
"600004562";"70837783";"7";"CZ0101";"Hlavní město Praha";"Praha 1";"B11000";"1100";"Hlavní město Praha";"Vyšší odborná škola grafická a Střední průmyslová škola grafická, Praha 1, Hellichova 22";"VOŠ grafická a SPŠ grafická";"Hellichova";"535";"22";"Malá Strana";"11800";"Praha";"21700281";"257 312 390";"257 312 390";"info@hellichovka.cz";"vykydalova@hellichovka.cz";"http://www.hellichovka.cz/";"Ing. Radek Blahák";"110025962";"E00";"Vyšší odborná škola";"Hellichova";"535";"22";"Malá Strana";"11800";"Praha";"21700281";"180";"12.11.1996"
"600004571";"41690184";"6";"CZ0109";"Hlavní město Praha";"Praha 9";"B11000";"1100";"Hlavní město Praha";"Evangelikální teologický seminář - Vyšší odborná škola teologická a sociální";"Evang.teol.seminář-VOŠ teolog. a sociál.";"Stoliňská";"2417";"41a";"Horní Počernice";"19300";"Praha";"25077210";"281 927 136 ,724435303";"281 921 734";"info@etspraha.cz";"reditel@etspraha.cz";"http://www.etspraha.cz";"Ing. Miloš Poborský";"110026021";"E00";"Vyšší odborná škola";"Stoliňská";"2417";"41a";"Horní Počernice";"19300";"Praha";"25077210";"200";"12.11.1996"
"600004589";"70872767";"7";"CZ0101";"Hlavní město Praha";"Praha 1";"B11000";"1100";"Hlavní město Praha";"Gymnázium Jana Nerudy, škola hlavního města Prahy, Praha 1, Hellichova 3";"Gymnázium Jana Nerudy, škola hl.m. Prahy";"Hellichova";"457";"3";"Malá Strana";"11800";"Praha";"21699321";"257 404 811 ,257404810";;"gjn@gjn.cz";;"https://www.gjn.cz";"RNDr. Jaromír Kekule, Ph.D.";"110001656";"C00";"Střední škola";"Hellichova";"457";"3";"Malá Strana";"11800";"Praha";"21699321";"880";"16.05.1996"
"600004597";"63109662";"7";"CZ0101";"Hlavní město Praha";"Praha 1";"B11000";"1100";"Hlavní město Praha";"Malostranské gymnázium, Praha 1, Josefská 7";"Malostranské gymnázium";"Josefská";"626";"7";"Malá Strana";"11800";"Praha";"21700796";"257 289 441";"257 289 460";"info@malgym.cz";"reditelstvi@malgym.cz";"www.malgym.cz";"Mgr. Tomáš Ledvinka";"063109662";"C00";"Střední škola";"Josefská";"626";"7";"Malá Strana";"11800";"Praha";"21700796";"480";"16.05.1996"
"600004601";"70837775";"7";"CZ0101";"Hlavní město Praha";"Praha 1";"B11000";"1100";"Hlavní město Praha";"Taneční konzervatoř hlavního města Prahy, Praha 1, Křižovnická 7";"Taneční konzervatoř HMP, Praha 1, Křižovnická 7";"Křižovnická";"81";"7";"Staré Město";"11000";"Praha";"21715416";"222 323 592";;"moravkova@tkpraha.cz";"studijni@tkpraha.cz";"https://www.tkpraha.cz/";"MgA. Pamela Morávková";"000638251";"D00";"Konzervatoř";"Křižovnická";"81";"7";"Staré Město";"11000";"Praha";"21715416";"230";"13.06.1996"
"600004601";"70837775";"7";"CZ0101";"Hlavní město Praha";"Praha 1";"B11000";"1100";"Hlavní město Praha";"Taneční konzervatoř hlavního města Prahy, Praha 1, Křižovnická 7";"Taneční konzervatoř HMP, Praha 1, Křižovnická 7";"Křižovnická";"81";"7";"Staré Město";"11000";"Praha";"21715416";"222 323 592";;"moravkova@tkpraha.cz";"studijni@tkpraha.cz";"https://www.tkpraha.cz/";"MgA. Pamela Morávková";"108016501";"L13";"Školní jídelna - výdejna";"Křižovnická";"81";"7";"Staré Město";"11000";"Praha";"21715416";"230";"13.06.1996"
"600004619";"61388726";"7";"CZ0101";"Hlavní město Praha";"Praha 1";"B11000";"1100";"Hlavní město Praha";"Vyšší odborná škola stavební a Střední průmyslová škola stavební, Praha 1, Dušní 17";"VOŠ stavební a SPŠ stavební";"Dušní";"900";"17";"Staré Město";"11000";"Praha";"21725373";"222 333 130 ,222333264";"222 333 147";"spsdusni@spsdusni.cz";"plihalova@spsdusni.cz";"http://www.spsdusni.cz";"PaedDr. Marie Plíhalová";"061388726";"C00";"Střední škola";"Dušní";"900";"17";"Staré Město";"11000";"Praha";"21725373";"540";"19.07.1996"
"600004619";"61388726";"7";"CZ0101";"Hlavní město Praha";"Praha 1";"B11000";"1100";"Hlavní město Praha";"Vyšší odborná škola stavební a Střední průmyslová škola stavební, Praha 1, Dušní 17";"VOŠ stavební a SPŠ stavební";"Dušní";"900";"17";"Staré Město";"11000";"Praha";"21725373";"222 333 130 ,222333264";"222 333 147";"spsdusni@spsdusni.cz";"plihalova@spsdusni.cz";"http://www.spsdusni.cz";"PaedDr. Marie Plíhalová";"110350928";"M79";"Jiné účelové zařízení";"Dušní";"900";"17";"Staré Město";"11000";"Praha";"21725373";"1000";"01.09.2000"
"600004619";"61388726";"7";"CZ0101";"Hlavní město Praha";"Praha 1";"B11000";"1100";"Hlavní město Praha";"Vyšší odborná škola stavební a Střední průmyslová škola stavební, Praha 1, Dušní 17";"VOŠ stavební a SPŠ stavební";"Dušní";"900";"17";"Staré Město";"11000";"Praha";"21725373";"222 333 130 ,222333264";"222 333 147";"spsdusni@spsdusni.cz";"plihalova@spsdusni.cz";"http://www.spsdusni.cz";"PaedDr. Marie Plíhalová";"181031361";"E00";"Vyšší odborná škola";"Dušní";"900";"17";"Staré Město";"11000";"Praha";"21725373";"120";"01.10.2011"
"600004619";"61388726";"7";"CZ0101";"Hlavní město Praha";"Praha 1";"B11000";"1100";"Hlavní město Praha";"Vyšší odborná škola stavební a Střední průmyslová škola stavební, Praha 1, Dušní 17";"VOŠ stavební a SPŠ stavební";"Dušní";"900";"17";"Staré Město";"11000";"Praha";"21725373";"222 333 130 ,222333264";"222 333 147";"spsdusni@spsdusni.cz";"plihalova@spsdusni.cz";"http://www.spsdusni.cz";"PaedDr. Marie Plíhalová";"181123924";"L13";"Školní jídelna - výdejna";"Dušní";"900";"17";"Staré Město";"11000";"Praha";"21725373";"400";"01.09.2021"
"600004627";"61387002";"7";"CZ0101";"Hlavní město Praha";"Praha 1";"B11000";"1100";"Hlavní město Praha";"Vyšší odborná škola textilních řemesel a Střední umělecká škola textilních řemesel, Praha 1, U Půjčovny 9";"VOŠ text.řem. a Stř.uměl.škola text.řem.";"U půjčovny";"1274";"9";"Nové Město";"11000";"Praha";"21711011";"224 213 538";"224 211 491";"info@textilniskola.cz";"ivana.hyblova@textilniskola.cz";"www.textilniskola.cz";"Ing. Ivana Hýblová";"061387002";"C00";"Střední škola";"U Půjčovny";"1274";"9";"Nové Město";"11000";"Praha";"21711011";"130";"13.06.1996"
"600004627";"61387002";"7";"CZ0101";"Hlavní město Praha";"Praha 1";"B11000";"1100";"Hlavní město Praha";"Vyšší odborná škola textilních řemesel a Střední umělecká škola textilních řemesel, Praha 1, U Půjčovny 9";"VOŠ text.řem. a Stř.uměl.škola text.řem.";"U půjčovny";"1274";"9";"Nové Město";"11000";"Praha";"21711011";"224 213 538";"224 211 491";"info@textilniskola.cz";"ivana.hyblova@textilniskola.cz";"www.textilniskola.cz";"Ing. Ivana Hýblová";"150008848";"E00";"Vyšší odborná škola";"U půjčovny";"1274";"9";"Nové Město";"11000";"Praha";"21711011";"40";"20.12.2001"
"600004635";"25119702";"5";"CZ0101";"Hlavní město Praha";"Praha 1";"B11000";"1100";"Hlavní město Praha";"GYMNÁZIUM JANA PALACHA PRAHA 1, s.r.o.";"GYMNÁZIUM JANA PALACHA PRAHA 1, s.r.o.";"Pštrossova";"203";"13";"Nové Město";"11000";"Praha";"21702900";"224 223 623";;"info@gjp1.cz";"michal.musil@gjp1.cz";"http://www.gjp1.cz";"Mgr. Michal Musil";"013094394";"C00";"Střední škola";"Pštrossova";"203";"13";"Nové Město";"11000";"Praha";"21702900";"200";"16.05.1996"
"600004643";"70837899";"7";"CZ0101";"Hlavní město Praha";"Praha 1";"B11000";"1100";"Hlavní město Praha";"Vyšší odborná škola a Střední průmyslová škola dopravní, Praha 1, Masná 18";"VOŠ a SPŠ dopravní";"Masná";"1000";"18";"Staré Město";"11000";"Praha";"21726361";"222 322 328 ,236075627";"222 317 814";"info@spsdmasna.cz";"ineman@spsdmasna.cz; hronova@spsdmasna.cz";"http://www.spsdmasna.cz";"Ing. Josef Ineman";"000638293";"C00";"Střední škola";"Masná";"1000";"18";"Staré Město";"11000";"Praha";"21726361";"730";"01.08.1996"
"600004643";"70837899";"7";"CZ0101";"Hlavní město Praha";"Praha 1";"B11000";"1100";"Hlavní město Praha";"Vyšší odborná škola a Střední průmyslová škola dopravní, Praha 1, Masná 18";"VOŠ a SPŠ dopravní";"Masná";"1000";"18";"Staré Město";"11000";"Praha";"21726361";"222 322 328 ,236075627";"222 317 814";"info@spsdmasna.cz";"ineman@spsdmasna.cz; hronova@spsdmasna.cz";"http://www.spsdmasna.cz";"Ing. Josef Ineman";"110036450";"E00";"Vyšší odborná škola";"Masná";"1000";"18";"Staré Město";"11000";"Praha";"21726361";"240";"01.08.1996"
"600004660";"63834286";"7";"CZ0104";"Hlavní město Praha";"Praha 4";"B11000";"1100";"Hlavní město Praha";"Konzervatoř a Vyšší odborná škola Jaroslava Ježka";"Konzervatoř a VOŠ Jaroslava Ježka";"Roškotova";"1692";"4";"Braník";"14000";"Praha";"21814074";"241 046 900 ,241046904";;"info@kjj.cz; reditel@kjj.cz";"studijni@kjj.cz";"https://www.kjj.cz";"Eduard Klezla";"000638277";"D00";"Konzervatoř";"Roškotova";"1692";"4";"Braník";"14000";"Praha";"21814074";"350";"13.06.1996"
"600004660";"63834286";"7";"CZ0104";"Hlavní město Praha";"Praha 4";"B11000";"1100";"Hlavní město Praha";"Konzervatoř a Vyšší odborná škola Jaroslava Ježka";"Konzervatoř a VOŠ Jaroslava Ježka";"Roškotova";"1692";"4";"Braník";"14000";"Praha";"21814074";"241 046 900 ,241046904";;"info@kjj.cz; reditel@kjj.cz";"studijni@kjj.cz";"https://www.kjj.cz";"Eduard Klezla";"110350111";"E00";"Vyšší odborná škola";"Roškotova";"1692";"4";"Braník";"14000";"Praha";"21814074";"84";"13.06.1996"
"600004660";"63834286";"7";"CZ0104";"Hlavní město Praha";"Praha 4";"B11000";"1100";"Hlavní město Praha";"Konzervatoř a Vyšší odborná škola Jaroslava Ježka";"Konzervatoř a VOŠ Jaroslava Ježka";"Roškotova";"1692";"4";"Braník";"14000";"Praha";"21814074";"241 046 900 ,241046904";;"info@kjj.cz; reditel@kjj.cz";"studijni@kjj.cz";"https://www.kjj.cz";"Eduard Klezla";"110350359";"H22";"Domov mládeže";"Roškotova";"1692";"4";"Braník";"14000";"Praha";"21814074";"100";"15.09.1998"
"600004660";"63834286";"7";"CZ0104";"Hlavní město Praha";"Praha 4";"B11000";"1100";"Hlavní město Praha";"Konzervatoř a Vyšší odborná škola Jaroslava Ježka";"Konzervatoř a VOŠ Jaroslava Ježka";"Roškotova";"1692";"4";"Braník";"14000";"Praha";"21814074";"241 046 900 ,241046904";;"info@kjj.cz; reditel@kjj.cz";"studijni@kjj.cz";"https://www.kjj.cz";"Eduard Klezla";"181035057";"M20";"Školní knihovna";"Roškotova";"1692";"4";"Braník";"14000";"Praha";"21814074";"0";"01.09.2012"
"600004678";"70837902";"7";"CZ0101";"Hlavní město Praha";"Praha 1";"B11000";"1100";"Hlavní město Praha";"Masarykova střední škola chemická, Praha 1, Křemencova 12";"Masarykova střední škola chemická";"Křemencova";"179";"12";"Nové Město";"11000";"Praha";"21702608";"222 924 444 ,22";"222 924 499";"info@mssch.cz";"kancelar@mssch.cz";"http://www.mssch.cz";"Ing. Jiří Zajíček";"000638307";"C00";"Střední škola";"Křemencova";"179";"12";"Nové Město";"11000";"Praha";"21702608";"420";"16.05.1996"
"600004678";"70837902";"7";"CZ0101";"Hlavní město Praha";"Praha 1";"B11000";"1100";"Hlavní město Praha";"Masarykova střední škola chemická, Praha 1, Křemencova 12";"Masarykova střední škola chemická";"Křemencova";"179";"12";"Nové Město";"11000";"Praha";"21702608";"222 924 444 ,22";"222 924 499";"info@mssch.cz";"kancelar@mssch.cz";"http://www.mssch.cz";"Ing. Jiří Zajíček";"102501424";"L11";"Školní jídelna";"Křemencova";"179";"12";"Nové Město";"11000";"Praha";"21702608";"400";"16.05.1996"
"600004686";"70872589";"7";"CZ0101";"Hlavní město Praha";"Praha 1";"B11000";"1100";"Hlavní město Praha";"Střední průmyslová škola strojnická, škola hlavního města Prahy, Praha 1, Betlémská 4/287";"SPŠ strojnická, škola hl.m. Prahy";"Betlémská";"287";"4";"Staré Město";"11000";"Praha";"21717940";"222 221 403 ;251092100";"222 221 405";"reditel@betlemska.cz";"sekretariat@betlemska.cz";"http://www.betlemska.cz";"Mgr. Michal Prutyszyn";"110032641";"C00";"Střední škola";"Betlémská";"287";"4";"Staré Město";"11000";"Praha";"21717940";"600";"01.08.1996"
